year_built,area,url,price,bedrooms,postal_code,rooms,address,property_type
2006,105,http://www.funda.nl/koop/amsterdam/appartement-49667396-anna-blamansingel-240/,239.0,3,1102 SX,4,Anna Blamansingel 240,apartment
2009,119,http://www.funda.nl/koop/amsterdam/appartement-49634057-geer-ban-55/,295.0,4,1068 ZW,5,Geer Ban 55,apartment
2004,87,http://www.funda.nl/koop/amsterdam/appartement-49633241-p-hans-frankfurthersingel-132/,235.0,2,1060 TN,3,P. Hans Frankfurthersingel 132,apartment
2002,86,http://www.funda.nl/koop/amsterdam/appartement-49767187-van-suchtelen-van-de-haarestraat-20-e-pp/,249.5,2,1068 GV,3,Van Suchtelen van de Haarestraat 20 E +PP,apartment
2014,130,http://www.funda.nl/koop/amsterdam/appartement-49640104-marcusstraat-131/,950.0,3,1091 TJ,4,Marcusstraat 131,apartment
2008,153,http://www.funda.nl/koop/amsterdam/appartement-49691287-willem-van-weldammelaan-79/,895.0,2,1082 KT,3,Willem van Weldammelaan 79,apartment
2002,113,http://www.funda.nl/koop/amsterdam/appartement-49812390-martini-van-geffenstraat-110-p/,290.0,2,1068 GL,3,Martini van Geffenstraat 110 +P,apartment
2006,100,http://www.funda.nl/koop/amsterdam/appartement-49813582-veembroederhof-169-ppl/,435.0,2,1019 HD,3,Veembroederhof 169 +PPL,apartment
1997,102,http://www.funda.nl/koop/amsterdam/appartement-49773140-osdorpplein-227/,295.0,2,1068 SW,3,Osdorpplein 227,apartment
1930,51,http://www.funda.nl/koop/amsterdam/appartement-49812426-weissenbruchstraat-30-i/,275.0,2,1058 KN,3,Weissenbruchstraat 30 I,apartment
1934,70,http://www.funda.nl/koop/amsterdam/appartement-49811999-boterdiepstraat-30-h/,375.0,2,1079 SX,3,Boterdiepstraat 30 H,apartment
1630,219,http://www.funda.nl/koop/amsterdam/appartement-49774989-prins-hendrikkade-105-huis/,1.25,2,1011 AJ,6,Prins Hendrikkade 105 -huis,apartment
2008,119,http://www.funda.nl/koop/amsterdam/huis-47941838-frambozenstraat-37/,299.0,3,1033 SX,4,Frambozenstraat 37,house
1931,60,http://www.funda.nl/koop/amsterdam/appartement-49814141-legmeerstraat-84-ii/,275.0,1,1058 NH,3,Legmeerstraat 84 /II,apartment
1994,88,http://www.funda.nl/koop/amsterdam/huis-48944069-john-kellypad-4/,229.0,3,1034 WG,4,John Kellypad 4,house
1925,50,http://www.funda.nl/koop/amsterdam/appartement-49814797-turnerstraat-3-iii/,280.0,1,1076 VA,2,Turnerstraat 3 III,apartment
1986,100,http://www.funda.nl/koop/amsterdam/appartement-49814602-arent-janszoon-ernststraat-239/,275.0,2,1083 JN,3,Arent Janszoon Ernststraat 239,apartment
1999,143,http://www.funda.nl/koop/amsterdam/huis-48234943-iwan-kantemanplein-14/,350.0,4,1060 RM,5,Iwan Kantemanplein 14,house
1988,258,http://www.funda.nl/koop/amsterdam/huis-48361329-prinses-margrietstraat-1/,2.95,4,1077 KZ,6,Prinses Margrietstraat 1 /*,house
2010,97,http://www.funda.nl/koop/amsterdam/huis-85250347-korianderstraat-33/,245.0,3,1104 HR,4,Korianderstraat 33,house
2007,236,http://www.funda.nl/koop/amsterdam/huis-49871771-lisdoddelaan-10/,1.3,4,1087 KA,7,Lisdoddelaan 10,house
1930,63,http://www.funda.nl/koop/amsterdam/appartement-49899897-de-la-reijstraat-8-a/,295.0,1,1091 PA,2,De la Reijstraat 8 -A,apartment
1962,186,http://www.funda.nl/koop/amsterdam/huis-49899914-johan-braakensiekhof-15/,1.1,3,1068 KK,4,Johan Braakensiekhof 15,house
1927,332,http://www.funda.nl/koop/amsterdam/huis-49870101-apollolaan-64/,3.48,5,1077 BC,8,Apollolaan 64,house
1990,109,http://www.funda.nl/koop/amsterdam/huis-49431169-lange-stammerdijk-30/,535.0,4,1109 BN,6,Lange Stammerdijk 30,house
1985,80,http://www.funda.nl/koop/amsterdam/huis-85254841-cornelis-schuurmanhof-13/,210.0,2,1106 WR,3,Cornelis Schuurmanhof 13,house
1925,70,http://www.funda.nl/koop/amsterdam/huis-49805196-betelgeuzestraat-18/,219.0,2,1033 GB,3,Betelgeuzestraat 18,house
2007,96,http://www.funda.nl/koop/amsterdam/appartement-48223236-johan-hofmanstraat-190/,250.0,2,1069 KE,3,Johan Hofmanstraat 190,apartment
2009,98,http://www.funda.nl/koop/amsterdam/appartement-49811220-eva-besnyostraat-99/,319.0,3,1087 KR,4,Eva Besnyöstraat 99,apartment
1920,178,http://www.funda.nl/koop/amsterdam/appartement-49869916-prinsengracht-612-e/,1.2,3,1017 KT,4,Prinsengracht 612 E,apartment
1983,60,http://www.funda.nl/koop/amsterdam/appartement-49590614-wamelplein-129/,119.0,1,1106 DS,2,Wamelplein 129,apartment
1923,51,http://www.funda.nl/koop/amsterdam/huis-49807539-hensbroekerstraat-13/,195.0,1,1023 AM,2,Hensbroekerstraat 13,house
1910,80,http://www.funda.nl/koop/amsterdam/appartement-49808561-frans-van-mierisstraat-123-iii/,680.0,2,1071 RR,3,Frans van Mierisstraat 123 III,apartment
1994,139,http://www.funda.nl/koop/amsterdam/huis-49713417-sandwijk-6/,350.0,3,1035 LB,4,Sandwijk 6,house
2009,83,http://www.funda.nl/koop/amsterdam/appartement-49785982-eva-besnyostraat-382/,259.0,2,1087 LM,3,Eva Besnyöstraat 382,apartment
2007,70,http://www.funda.nl/koop/amsterdam/appartement-49793320-jan-van-zutphenstraat-621/,255.0,2,1069 RS,3,Jan van Zutphenstraat 621,apartment
1906,40,http://www.funda.nl/koop/amsterdam/appartement-49727742-da-costastraat-119-hs/,260.0,1,1053 ZK,2,Da Costastraat 119 HS,apartment
1906,71,http://www.funda.nl/koop/amsterdam/appartement-49721980-van-beuningenstraat-138-hs/,375.0,2,1051 XV,3,Van Beuningenstraat 138 HS,apartment
1981,95,http://www.funda.nl/koop/amsterdam/appartement-49706383-maldenhof-316/,187.5,4,1106 EZ,5,Maldenhof 316,apartment
1979,80,http://www.funda.nl/koop/amsterdam/appartement-49711644-leerdamhof-320/,164.5,2,1108 CC,3,Leerdamhof 320,apartment
2006,130,http://www.funda.nl/koop/amsterdam/appartement-49724688-warmoesstraat-18-d/,625.0,2,1012 JD,3,Warmoesstraat 18 -D,apartment
2017,110,http://www.funda.nl/koop/amsterdam/appartement-49734297-zuidelijke-wandelweg-55/,550.0,3,1079 RK,4,Zuidelijke Wandelweg 55,apartment
1881,163,http://www.funda.nl/koop/amsterdam/appartement-49801921-swammerdamstraat-8-iii-iv/,785.0,6,1091 RT,7,Swammerdamstraat 8 III-IV,apartment
1924,75,http://www.funda.nl/koop/amsterdam/appartement-49745942-middenweg-476/,290.0,2,1097 VD,3,Middenweg 476,apartment
1984,61,http://www.funda.nl/koop/amsterdam/appartement-49802588-utrechtsedwarsstraat-59-b/,375.0,2,1017 WC,3,Utrechtsedwarsstraat 59 B,apartment
1600,144,http://www.funda.nl/koop/amsterdam/appartement-49741721-prins-hendrikkade-164-a/,800.0,2,1011 TB,3,Prins Hendrikkade 164 A,apartment
1991,107,http://www.funda.nl/koop/amsterdam/appartement-49748002-lijnbaansgracht-208-c/,595.0,3,1016 XA,4,Lijnbaansgracht 208 -C,apartment
1966,134,http://www.funda.nl/koop/amsterdam/appartement-49801947-weerdestein-138/,490.0,2,1083 GJ,4,Weerdestein 138,apartment
1931,137,http://www.funda.nl/koop/amsterdam/appartement-49734693-stadionkade-17-iii/,845.0,3,1077 VK,5,Stadionkade 17 III,apartment
1987,37,http://www.funda.nl/koop/amsterdam/appartement-49817469-riouwstraat-107-e/,150.0,1,1094 XM,2,Riouwstraat 107 E,apartment
1899,62,http://www.funda.nl/koop/amsterdam/appartement-49817976-van-ostadestraat-57-huis/,349.0,2,1072 SN,3,Van Ostadestraat 57 huis,apartment
1926,53,http://www.funda.nl/koop/amsterdam/appartement-49815349-herculesstraat-128-hs/,300.0,1,1076 SV,2,Herculesstraat 128 hs,apartment
1906,80,http://www.funda.nl/koop/amsterdam/appartement-49815515-barentszstraat-329/,375.0,2,1013 NN,3,Barentszstraat 329,apartment
2006,108,http://www.funda.nl/koop/amsterdam/appartement-49803108-president-allendelaan-359/,325.0,3,1068 VM,4,President Allendelaan 359,apartment
1986,54,http://www.funda.nl/koop/amsterdam/appartement-49816950-van-beuningenstraat-45/,199.0,1,1051 XD,2,Van Beuningenstraat 45,apartment
1988,93,http://www.funda.nl/koop/amsterdam/appartement-49815285-riouwstraat-49-a/,315.0,3,1094 XG,4,Riouwstraat 49 A,apartment
1932,116,http://www.funda.nl/koop/amsterdam/appartement-49875804-haarlemmermeerstraat-60-3/,675.0,3,1058 KC,5,Haarlemmermeerstraat 60 3,apartment
1968,92,http://www.funda.nl/koop/amsterdam/appartement-49876357-het-hoogt-219/,215.0,3,1025 GW,4,Het Hoogt 219,apartment
1904,49,http://www.funda.nl/koop/amsterdam/appartement-49886040-fagelstraat-68-hs/,275.0,1,1052 GG,2,Fagelstraat 68 -hs,apartment
1625,103,http://www.funda.nl/koop/amsterdam/appartement-49887373-singel-518-i/,489.0,2,1017 AX,3,Singel 518 I,apartment
1934,90,http://www.funda.nl/koop/amsterdam/appartement-49880712-heemstedestraat-64-iii/,425.0,3,1058 NP,4,Heemstedestraat 64 -III,apartment
1998,76,http://www.funda.nl/koop/amsterdam/appartement-49880731-sibogastraat-66/,309.0,2,1094 SM,3,Sibogastraat 66,apartment
1891,62,http://www.funda.nl/koop/amsterdam/appartement-49879745-nieuwe-prinsengracht-70-souterr/,360.0,2,1018 VT,3,Nieuwe Prinsengracht 70 souterr,apartment
1998,133,http://www.funda.nl/koop/amsterdam/appartement-49871564-wisselstraat-14/,569.0,3,1019 TM,5,Wisselstraat 14,apartment
1931,173,http://www.funda.nl/koop/amsterdam/appartement-49899503-stadionweg-109-iii-iv/,899.0,6,1077 SJ,7,Stadionweg 109 -III+IV,apartment
1876,50,http://www.funda.nl/koop/amsterdam/appartement-49897874-gerard-doustraat-168-ii/,250.0,1,1073 VZ,3,Gerard Doustraat 168 -II,apartment
1990,48,http://www.funda.nl/koop/amsterdam/appartement-49890575-oostenburgerpark-156/,199.0,1,1018 HT,2,Oostenburgerpark 156,apartment
1895,182,http://www.funda.nl/koop/amsterdam/appartement-49882451-willemsparkweg-204-a/,1.545,3,1071 HW,4,Willemsparkweg 204 /A,apartment
2007,76,http://www.funda.nl/koop/amsterdam/appartement-49884627-schollenbrugpad-12-pp/,350.0,1,1091 ST,3,Schollenbrugpad 12 + PP,apartment
1896,45,http://www.funda.nl/koop/amsterdam/appartement-49895984-eerste-jan-van-der-heijdenstraat-49-2/,269.0,1,1072 TK,2,Eerste Jan van der Heijdenstraat 49 2,apartment
1957,95,http://www.funda.nl/koop/amsterdam/appartement-49809052-johannes-worpstraat-5-i/,350.0,2,1076 BC,3,Johannes Worpstraat 5 -I,apartment
1906,91,http://www.funda.nl/koop/amsterdam/appartement-49894226-de-wittenkade-91-i-ii/,480.0,3,1052 AE,5,De Wittenkade 91 I + II,apartment
1907,65,http://www.funda.nl/koop/amsterdam/appartement-49808148-wethouder-frankeweg-19-2/,289.0,1,1098 KW,2,Wethouder Frankeweg 19 2,apartment
1925,58,http://www.funda.nl/koop/amsterdam/appartement-49809568-vespuccistraat-87-iii/,245.0,2,1056 SK,3,Vespuccistraat 87 III,apartment
1899,93,http://www.funda.nl/koop/amsterdam/appartement-49893823-fannius-scholtenstraat-63-hs/,450.0,2,1051 EV,3,Fannius Scholtenstraat 63 -hs,apartment
1991,79,http://www.funda.nl/koop/amsterdam/appartement-49809848-duke-ellingtonstraat-17/,235.0,2,1066 GE,3,Duke Ellingtonstraat 17,apartment
2003,119,http://www.funda.nl/koop/amsterdam/appartement-49896174-ijburglaan-718-pp/,475.0,2,1087 CE,3,IJburglaan 718 +PP,apartment
1725,75,http://www.funda.nl/koop/amsterdam/appartement-49818970-singel-40-a/,399.0,1,1015 AB,1,Singel 40 A,apartment
1904,149,http://www.funda.nl/koop/amsterdam/appartement-49819507-eerste-helmersstraat-193-iii/,899.0,3,1054 DV,5,Eerste Helmersstraat 193 III,apartment
1934,79,http://www.funda.nl/koop/amsterdam/appartement-49819738-eemsstraat-19-ii-hg/,439.0,2,1079 TB,3,Eemsstraat 19 -II hg,apartment
1935,118,http://www.funda.nl/koop/amsterdam/appartement-49810126-olympiaplein-87-ii-hg/,700.0,4,1077 CS,6,Olympiaplein 87 II hg,apartment
1919,197,http://www.funda.nl/koop/amsterdam/appartement-49818383-sophialaan-1/,1.75,3,1075 BL,7,Sophialaan 1,apartment
1938,94,http://www.funda.nl/koop/amsterdam/appartement-49819945-jasper-leijnsenstraat-11-iii-iv/,535.0,3,1056 XV,4,Jasper Leijnsenstraat 11 III/IV,apartment
1976,75,http://www.funda.nl/koop/amsterdam/appartement-49814128-spinaker-13/,159.0,2,1034 MD,3,Spinaker 13,apartment
2001,102,http://www.funda.nl/koop/amsterdam/appartement-49813963-panamalaan-232/,369.0,2,1019 AZ,4,Panamalaan 232,apartment
1906,130,http://www.funda.nl/koop/amsterdam/appartement-49812061-jacob-van-lennepkade-46-huis/,999.0,3,1053 ML,4,Jacob van Lennepkade 46 huis,apartment
1985,54,http://www.funda.nl/koop/amsterdam/appartement-49812425-madurastraat-5-b/,240.0,1,1094 GC,2,Madurastraat 5 B,apartment
1918,35,http://www.funda.nl/koop/amsterdam/appartement-49814153-vrolikstraat-202-2/,175.0,1,1092 TT,2,Vrolikstraat 202 -2,apartment
1908,152,http://www.funda.nl/koop/amsterdam/appartement-49855261-sloterkade-168-c/,725.0,3,1059 EB,4,Sloterkade 168 C,apartment
1906,116,http://www.funda.nl/koop/amsterdam/appartement-49868775-keizersgracht-446-b/,995.0,2,1016 GD,4,Keizersgracht 446 B,apartment
1908,152,http://www.funda.nl/koop/amsterdam/appartement-49748167-sloterkade-168/,775.0,3,1059 EB,4,Sloterkade 168 *,apartment
1986,136,http://www.funda.nl/koop/amsterdam/huis-85157870-geerdinkhof-584/,259.0,5,1103 RL,6,Geerdinkhof 584,house
1906,30,http://www.funda.nl/koop/amsterdam/appartement-49812930-eerste-sweelinckstraat-11-1/,179.0,1,1073 CK,1,Eerste Sweelinckstraat 11 1,apartment
1924,50,http://www.funda.nl/koop/amsterdam/appartement-49896125-van-helt-stocadestraat-36-ii/,270.0,2,1073 JD,6,Van Helt Stocadestraat 36 II,apartment
1926,226,http://www.funda.nl/koop/amsterdam/huis-49860606-mozartkade-8/,2.0,8,1077 DH,10,Mozartkade 8,house
1906,86,http://www.funda.nl/koop/amsterdam/appartement-49813857-cliffordstraat-22-iii-iv/,469.0,3,1051 GT,4,Cliffordstraat 22 III/IV,apartment
1965,206,http://www.funda.nl/koop/amsterdam/huis-49740983-cannenburg-13/,1.2,3,1081 GT,6,Cannenburg 13,house
1906,68,http://www.funda.nl/koop/amsterdam/appartement-49875249-nassaukade-150-i/,359.0,3,1052 EJ,4,Nassaukade 150 I,apartment
2011,300,http://www.funda.nl/koop/amsterdam/huis-49626331-minervalaan-99/,2.995,4,1077 NV,6,Minervalaan 99,house
1967,185,http://www.funda.nl/koop/amsterdam/huis-85808631-hoekenes-106/,685.0,4,1068 NA,5,Hoekenes 106,house
2000,77,http://www.funda.nl/koop/amsterdam/appartement-49612059-utrechtsestraat-98-d/,550.0,2,1017 VS,4,Utrechtsestraat 98 D,apartment
1985,135,http://www.funda.nl/koop/amsterdam/huis-49625757-sommelsdijkstraat-13/,230.0,5,1107 WD,7,Sommelsdijkstraat 13,house
1929,118,http://www.funda.nl/koop/amsterdam/appartement-49882606-diezestraat-23-2-3/,625.0,3,1078 JM,5,Diezestraat 23 2+3,apartment
1916,34,http://www.funda.nl/koop/amsterdam/appartement-49898184-van-bossestraat-22-l/,199.0,1,1051 JZ,3,Van Bossestraat 22 -l,apartment
1930,78,http://www.funda.nl/koop/amsterdam/appartement-49898146-woubruggestraat-34-hs/,500.0,2,1059 VS,3,Woubruggestraat 34 Hs,apartment
1929,101,http://www.funda.nl/koop/amsterdam/appartement-49883115-laplacestraat-2/,500.0,3,1098 HV,4,Laplacestraat 2,apartment
1929,74,http://www.funda.nl/koop/amsterdam/appartement-49882604-diezestraat-23-i/,350.0,1,1078 JM,2,Diezestraat 23 -I,apartment
2003,165,http://www.funda.nl/koop/amsterdam/huis-49896913-hebridenlaan-37/,450.0,4,1060 LS,5,Hebridenlaan 37,house
1880,67,http://www.funda.nl/koop/amsterdam/appartement-49895535-plantage-badlaan-6-iii/,395.0,2,1018 TH,3,Plantage Badlaan 6 III,apartment
1929,192,http://www.funda.nl/koop/amsterdam/appartement-49882630-diezestraat-23-1-2-3/,975.0,4,1078 JM,7,Diezestraat 23 1/2/3,apartment
1998,76,http://www.funda.nl/koop/amsterdam/appartement-49899572-wijttenbachstraat-11-e/,345.0,2,1093 HR,4,Wijttenbachstraat 11 -E,apartment
1993,84,http://www.funda.nl/koop/amsterdam/appartement-49890496-eerste-oosterparkstraat-159/,325.0,2,1091 GZ,3,Eerste Oosterparkstraat 159,apartment
2009,151,http://www.funda.nl/koop/amsterdam/appartement-49899885-murdoch-mackenziestraat-14/,619.0,4,1086 WH,6,Murdoch Mackenziestraat 14,apartment
1927,75,http://www.funda.nl/koop/amsterdam/appartement-49899121-hofmeyrstraat-28-3-4/,350.0,2,1091 NA,3,Hofmeyrstraat 28 -3+4,apartment
1992,90,http://www.funda.nl/koop/amsterdam/huis-49890641-stellingweg-208/,348.0,2,1035 GE,3,Stellingweg 208,house
1899,112,http://www.funda.nl/koop/amsterdam/appartement-49891247-cornelis-anthoniszstraat-3-huis/,700.0,2,1071 VN,4,Cornelis Anthoniszstraat 3 -huis,apartment
1901,29,http://www.funda.nl/koop/amsterdam/appartement-49805930-vrolikstraat-317-1a/,185.0,1,1091 VE,2,Vrolikstraat 317 1A,apartment
1996,86,http://www.funda.nl/koop/amsterdam/appartement-49890813-knsm-laan-465/,385.0,2,1019 LG,3,KNSM-laan 465,apartment
2000,74,http://www.funda.nl/koop/amsterdam/appartement-49806130-valentijnkade-114/,309.0,2,1095 JL,3,Valentijnkade 114,apartment
1986,140,http://www.funda.nl/koop/amsterdam/huis-49808801-snelleveldplein-37/,239.5,5,1107 WC,7,Snelleveldplein 37,house
1914,58,http://www.funda.nl/koop/amsterdam/appartement-49801818-timorstraat-1-iv/,259.0,2,1094 CD,3,Timorstraat 1 IV,apartment
1913,48,http://www.funda.nl/koop/amsterdam/appartement-49802925-bankastraat-58-b/,209.0,2,1094 EH,3,Bankastraat 58 -B,apartment
1968,297,http://www.funda.nl/koop/amsterdam/huis-49817543-warmelo-6/,1.795,5,1081 HS,9,Warmelo 6,house
1999,100,http://www.funda.nl/koop/amsterdam/appartement-49800357-scheepstimmermanstraat-86-c/,439.0,4,1019 WZ,5,Scheepstimmermanstraat 86 -C,apartment
1923,40,http://www.funda.nl/koop/amsterdam/appartement-49819687-schalk-burgerstraat-106/,215.0,1,1091 LM,2,Schalk Burgerstraat 106,apartment
1906,48,http://www.funda.nl/koop/amsterdam/appartement-49747038-bloemstraat-116-ii/,250.0,1,1016 LG,2,Bloemstraat 116 -II,apartment
1615,143,http://www.funda.nl/koop/amsterdam/huis-49749683-herengracht-198-a/,1.45,2,1016 BS,3,Herengracht 198 A*,house
2003,163,http://www.funda.nl/koop/amsterdam/huis-49817032-sporadenlaan-61/,439.0,5,1060 MN,6,Sporadenlaan 61,house
1925,49,http://www.funda.nl/koop/amsterdam/appartement-49740630-nieuwe-achtergracht-12-i/,265.0,2,1018 XX,3,Nieuwe Achtergracht 12 I,apartment
1889,192,http://www.funda.nl/koop/amsterdam/appartement-49857788-zeeburgerdijk-5-hs/,980.0,2,1093 SJ,4,Zeeburgerdijk 5 hs,apartment
1906,64,http://www.funda.nl/koop/amsterdam/appartement-49744091-marnixstraat-384-i/,325.0,1,1017 PL,2,Marnixstraat 384 -I,apartment
1955,67,http://www.funda.nl/koop/amsterdam/appartement-49743921-johannes-meewisstraat-40-ii/,185.0,2,1063 CH,3,Johannes Meewisstraat 40 II,apartment
1960,125,http://www.funda.nl/koop/amsterdam/huis-49856517-wallestein-50/,550.0,4,1081 BD,5,Wallestein 50,house
1850,250,http://www.funda.nl/koop/amsterdam/huis-49868399-oostzanerdijk-12-14/,839.0,6,1035 RD,7,Oostzanerdijk 12 -14,house
1999,194,http://www.funda.nl/koop/amsterdam/huis-49869947-hof-van-versailles-58/,550.0,5,1064 NZ,6,Hof van Versailles 58 *,house
1923,42,http://www.funda.nl/koop/amsterdam/appartement-49860645-bloys-van-treslongstraat-59-iii/,189.0,1,1056 WZ,2,Bloys van Treslongstraat 59 III,apartment
1935,61,http://www.funda.nl/koop/amsterdam/appartement-49864462-postjeskade-163-ii/,232.5,1,1058 DR,2,Postjeskade 163 II,apartment
2007,89,http://www.funda.nl/koop/amsterdam/appartement-49864029-maria-austriastraat-14/,285.0,2,1087 CJ,3,Maria Austriastraat 14,apartment
1991,82,http://www.funda.nl/koop/amsterdam/appartement-49861148-entrepothof-44/,285.0,2,1019 DJ,3,Entrepothof 44,apartment
2010,68,http://www.funda.nl/koop/amsterdam/appartement-49860128-ottho-heldringstraat-27-k/,225.0,1,1066 XT,2,Ottho Heldringstraat 27 K,apartment
1906,290,http://www.funda.nl/koop/amsterdam/huis-49810258-pieter-cornelisz-hooftstraat-157/,1.895,5,1071 BV,11,Pieter Cornelisz. Hooftstraat 157,house
2008,104,http://www.funda.nl/koop/amsterdam/huis-49798484-goudbalpad-33/,325.0,3,1036 KG,4,Goudbalpad 33,house
1906,290,http://www.funda.nl/koop/amsterdam/huis-49810259-van-eeghenlaan-2-t-o/,1.895,5,1071 EL,11,Van Eeghenlaan 2 t/o,house
1990,110,http://www.funda.nl/koop/amsterdam/huis-49811409-jg-suurhoffstraat-95/,269.0,3,1067 VN,4,J.G. Suurhoffstraat 95,house
1995,132,http://www.funda.nl/koop/amsterdam/huis-49825220-brenner-57/,385.0,4,1060 NT,6,Brenner 57,house
1958,74,http://www.funda.nl/koop/amsterdam/huis-49783541-adam-van-germezhof-13/,229.5,2,1065 TD,3,Adam van Germezhof 13,house
1960,93,http://www.funda.nl/koop/amsterdam/huis-49813373-zomerstraat-20/,259.5,3,1109 AW,4,Zomerstraat 20,house
2008,132,http://www.funda.nl/koop/amsterdam/huis-49735031-meerpad-12-a/,675.0,4,1025 LB,5,Meerpad 12 A,house
1958,67,http://www.funda.nl/koop/amsterdam/huis-49730055-van-karnebeekstraat-63/,175.0,1,1067 RH,2,Van Karnebeekstraat 63,house
1990,108,http://www.funda.nl/koop/amsterdam/huis-49873935-willem-dreesplantsoen-60/,250.0,3,1067 VJ,5,Willem Dreesplantsoen 60,house
2016,165,http://www.funda.nl/koop/amsterdam/huis-49891911-dudok-de-withof-7/,350.0,4,1067 RV,5,Dudok de Withof 7,house
2000,113,http://www.funda.nl/koop/amsterdam/huis-49893127-stentorstraat-63-a/,325.0,3,1035 XC,4,Stentorstraat 63 A,house
1906,192,http://www.funda.nl/koop/amsterdam/huis-49714636-levantkade-184/,749.0,2,1019 BG,3,Levantkade 184,house
2016,176,http://www.funda.nl/koop/amsterdam/huis-49875093-moestuinlaan-10/,525.0,4,1036 KD,5,Moestuinlaan 10,house
1935,58,http://www.funda.nl/koop/amsterdam/appartement-49712064-postjeskade-145-ii/,275.0,1,1058 DN,2,Postjeskade 145 II,apartment
1878,158,http://www.funda.nl/koop/amsterdam/huis-49716439-osdorperweg-635/,550.0,4,1067 SV,7,Osdorperweg 635,house
1906,302,http://www.funda.nl/koop/amsterdam/huis-49705676-nieuwe-keizersgracht-35/,2.25,6,1018 VB,10,Nieuwe Keizersgracht 35,house
2007,90,http://www.funda.nl/koop/amsterdam/appartement-49713221-erich-salomonstraat-315/,285.0,2,1087 EH,3,Erich Salomonstraat 315,apartment
2007,183,http://www.funda.nl/koop/amsterdam/huis-49725678-zwanebloemlaan-87/,825.0,4,1087 GD,6,Zwanebloemlaan 87,house
2009,115,http://www.funda.nl/koop/amsterdam/appartement-49729348-ijburglaan-1003/,295.0,2,1087 EN,4,IJburglaan 1003,apartment
1978,198,http://www.funda.nl/koop/amsterdam/huis-49732280-geerdinkhof-566/,524.5,5,1103 RK,6,Geerdinkhof 566,house
1925,70,http://www.funda.nl/koop/amsterdam/appartement-49734145-pijnackerstraat-26-hs/,399.5,2,1072 JV,3,Pijnackerstraat 26 Hs,apartment
1902,65,http://www.funda.nl/koop/amsterdam/appartement-49720642-de-clercqstraat-49-iii/,320.0,2,1053 AC,3,De Clercqstraat 49 III,apartment
1916,35,http://www.funda.nl/koop/amsterdam/appartement-49730279-van-bossestraat-45-l/,189.0,1,1051 JT,2,Van Bossestraat 45 l,apartment
2008,94,http://www.funda.nl/koop/amsterdam/appartement-49738284-hoofdweg-464-pp/,319.0,2,1055 AB,3,Hoofdweg 464 + PP,apartment
1882,56,http://www.funda.nl/koop/amsterdam/appartement-49734918-houtmankade-43-hs/,275.0,1,1013 MR,2,Houtmankade 43 hs,apartment
2007,130,http://www.funda.nl/koop/amsterdam/appartement-47827089-raoul-wallenbergstraat-112/,289.0,3,1102 AX,5,Raoul Wallenbergstraat 112,apartment
1906,65,http://www.funda.nl/koop/amsterdam/appartement-48862323-driekoningenstraat-20/,499.0,1,1016 AL,2,Driekoningenstraat 20,apartment
2003,74,http://www.funda.nl/koop/amsterdam/appartement-49691325-pieter-calandlaan-1211/,199.0,2,1069 RE,3,Pieter Calandlaan 1211,apartment
2006,97,http://www.funda.nl/koop/amsterdam/appartement-85849290-sam-van-houtenstraat-189-a/,219.5,3,1067 JG,4,Sam van Houtenstraat 189 A,apartment
2007,105,http://www.funda.nl/koop/amsterdam/appartement-49457964-professor-jh-gunningstraat-51/,335.0,2,1068 MS,3,Professor J.H. Gunningstraat 51,apartment
2010,115,http://www.funda.nl/koop/amsterdam/appartement-49611743-visseringstraat-21-d/,625.0,2,1051 KH,3,Visseringstraat 21 D,apartment
1886,39,http://www.funda.nl/koop/amsterdam/appartement-49753272-eerste-nassaustraat-34-2v/,200.0,1,1052 BH,2,Eerste Nassaustraat 34 2v,apartment
1930,100,http://www.funda.nl/koop/amsterdam/appartement-49751566-schaepmanstraat-248-iii-iv/,365.0,3,1051 JJ,4,Schaepmanstraat 248 III+IV,apartment
1977,60,http://www.funda.nl/koop/amsterdam/appartement-49609001-achtersteven-58/,150.0,1,1034 VD,2,Achtersteven 58,apartment
1968,30,http://www.funda.nl/koop/amsterdam/appartement-49481268-elpermeer-108/,105.0,1,1025 AL,1,Elpermeer 108,apartment
1934,49,http://www.funda.nl/koop/amsterdam/appartement-49876619-geuzenstraat-79-ii/,225.0,1,1056 KB,2,Geuzenstraat 79 -II,apartment
2012,54,http://www.funda.nl/koop/amsterdam/appartement-49864356-marcusstraat-123/,325.0,1,1091 TJ,2,Marcusstraat 123,apartment
1999,138,http://www.funda.nl/koop/amsterdam/huis-49878451-ouderkerkerdijk-170/,1.45,2,1096 CR,5,Ouderkerkerdijk 170 *,house
1790,110,http://www.funda.nl/koop/amsterdam/huis-49879064-oude-leliestraat-4/,895.0,4,1015 AW,7,Oude Leliestraat 4,house
1938,105,http://www.funda.nl/koop/amsterdam/appartement-49873667-sint-willibrordusstraat-52-hs/,600.0,2,1073 VC,3,Sint Willibrordusstraat 52 hs,apartment
1987,60,http://www.funda.nl/koop/amsterdam/appartement-49886348-wagenaarstraat-429/,239.0,2,1093 CN,3,Wagenaarstraat 429,apartment
1986,76,http://www.funda.nl/koop/amsterdam/appartement-49880241-minahassastraat-60/,275.0,2,1094 SB,3,Minahassastraat 60,apartment
1999,198,http://www.funda.nl/koop/amsterdam/huis-49881052-noorderakerweg-78/,650.0,4,1069 LW,8,Noorderakerweg 78,house
