year_built,area,url,price,bedrooms,postal_code,rooms,address,property_type
1910,39,http://www.funda.nl/koop/amsterdam/appartement-49899138-spaarndammerstraat-22-c/,199.0,1,1013 SW,2,Spaarndammerstraat 22 -C,apartment
2012,161,http://www.funda.nl/koop/amsterdam/appartement-49886814-overhoeksparklaan-68-pp/,1.0,3,1031 KC,4,Overhoeksparklaan 68 + PP,apartment
1934,54,http://www.funda.nl/koop/amsterdam/appartement-49807144-uiterwaardenstraat-269-ii/,325.0,2,1079 CS,3,Uiterwaardenstraat 269 II,apartment
1985,105,http://www.funda.nl/koop/amsterdam/huis-49861312-helena-kuipers-rietberghof-26/,250.0,4,1106 WE,5,Helena Kuipers-Rietberghof 26,house
2007,179,http://www.funda.nl/koop/amsterdam/huis-49862031-emanzana-80/,335.0,6,1103 AV,7,Emanzana 80,house
1910,92,http://www.funda.nl/koop/amsterdam/appartement-85258000-amstelveenseweg-184-1/,499.0,2,1075 XR,3,Amstelveenseweg 184 1,apartment
1920,178,http://www.funda.nl/koop/amsterdam/appartement-49869091-prinsengracht-612-e-hs/,1.075,3,1017 KT,4,Prinsengracht 612 E-hs,apartment
2005,110,http://www.funda.nl/koop/amsterdam/appartement-49885087-van-hallstraat-705/,585.0,2,1051 JE,3,Van Hallstraat 705,apartment
2004,161,http://www.funda.nl/koop/amsterdam/huis-49855872-zwanebloemlaan-324/,499.0,4,1087 KE,5,Zwanebloemlaan 324,house
2004,160,http://www.funda.nl/koop/amsterdam/huis-49818099-willy-mullenskade-17/,569.0,4,1087 KH,5,Willy Mullenskade 17,house
1939,102,http://www.funda.nl/koop/amsterdam/appartement-49812751-cliostraat-55-ii/,600.0,2,1077 KD,3,Cliostraat 55 II,apartment
1910,121,http://www.funda.nl/koop/amsterdam/appartement-49826826-brederodestraat-30-iii-iv/,625.0,3,1054 MV,4,Brederodestraat 30 -III/IV,apartment
1984,90,http://www.funda.nl/koop/amsterdam/appartement-49713876-renooiplein-22/,160.0,3,1107 EA,4,Renooiplein 22,apartment
1929,108,http://www.funda.nl/koop/amsterdam/appartement-85270206-churchill-laan-272-iii/,500.0,2,1078 GA,3,Churchill-laan 272 III,apartment
1914,100,http://www.funda.nl/koop/amsterdam/huis-49819392-zandpad-driemond-38/,359.0,3,1109 AG,5,Zandpad-Driemond 38,house
1930,122,http://www.funda.nl/koop/amsterdam/appartement-49873606-haarlemmermeerstraat-120-iii/,619.0,3,1058 KH,5,Haarlemmermeerstraat 120 III,apartment
1928,119,http://www.funda.nl/koop/amsterdam/appartement-49735836-stadionweg-206-1/,650.0,3,1077 TD,5,Stadionweg 206 1,apartment
1899,572,http://www.funda.nl/koop/amsterdam/huis-49875759-van-eeghenstraat-80/,11.75,8,1071 GK,16,Van Eeghenstraat 80 *,house
1972,92,http://www.funda.nl/koop/amsterdam/huis-49864422-kelbergen-198/,199.0,3,1104 LJ,4,Kelbergen 198,house
2006,204,http://www.funda.nl/koop/amsterdam/huis-49897740-jan-olphert-vaillantlaan-52/,785.0,5,1086 ZA,8,Jan Olphert Vaillantlaan 52,house
2011,81,http://www.funda.nl/koop/amsterdam/appartement-85263868-willem-frederik-hermansstraat-71/,460.0,1,1011 DG,2,Willem Frederik Hermansstraat 71,apartment
2016,114,http://www.funda.nl/koop/amsterdam/appartement-49805363-thorn-prikkerstraat-65/,325.0,4,1062 BS,5,Thorn Prikkerstraat 65,apartment
2008,136,http://www.funda.nl/koop/amsterdam/huis-49806297-daguerrestraat-120-pp/,449.0,3,1087 AT,5,Daguerrestraat 120 + PP,house
1966,76,http://www.funda.nl/koop/amsterdam/appartement-49731799-ilperveldstraat-54/,175.0,2,1024 PH,3,Ilperveldstraat 54,apartment
2010,122,http://www.funda.nl/koop/amsterdam/appartement-49811617-saskia-van-uijlenburgkade-58-pp/,700.0,3,1058 GA,5,Saskia van Uijlenburgkade 58 +PP,apartment
1968,94,http://www.funda.nl/koop/amsterdam/appartement-49746452-vrijzicht-183/,275.0,2,1068 CK,3,Vrijzicht 183,apartment
1960,76,http://www.funda.nl/koop/amsterdam/appartement-49746976-zuid-hollandstraat-122-iii/,285.0,2,1082 EN,3,Zuid-Hollandstraat 122 -III,apartment
1738,109,http://www.funda.nl/koop/amsterdam/appartement-49809924-herengracht-116-l/,849.0,2,1015 BT,3,Herengracht 116 L,apartment
1972,102,http://www.funda.nl/koop/amsterdam/appartement-49734808-het-breed-933/,250.0,2,1025 JG,3,Het Breed 933,apartment
1754,145,http://www.funda.nl/koop/amsterdam/appartement-49736939-prins-hendrikkade-171-huis/,639.0,1,1011 TC,4,Prins Hendrikkade 171 HUIS,apartment
2007,115,http://www.funda.nl/koop/amsterdam/appartement-49735194-fritz-dietrich-kahlenbergstraat-36/,395.0,3,1087 MS,4,Fritz Dietrich Kahlenbergstraat 36,apartment
2002,100,http://www.funda.nl/koop/amsterdam/appartement-49744747-martini-van-geffenstraat-82/,259.0,3,1068 GL,4,Martini van Geffenstraat 82,apartment
1977,62,http://www.funda.nl/koop/amsterdam/appartement-49863653-achtersteven-9/,175.0,1,1034 VA,2,Achtersteven 9,apartment
1957,119,http://www.funda.nl/koop/amsterdam/appartement-49888861-willem-kraanstraat-40/,225.0,3,1063 MG,4,Willem Kraanstraat 40,apartment
1891,61,http://www.funda.nl/koop/amsterdam/appartement-49870475-potgieterstraat-21-iv/,325.0,1,1053 XP,2,Potgieterstraat 21 -IV,apartment
1936,88,http://www.funda.nl/koop/amsterdam/appartement-49880445-trompenburgstraat-109-iii/,475.0,2,1079 TT,3,Trompenburgstraat 109 III,apartment
1961,63,http://www.funda.nl/koop/amsterdam/appartement-49892601-sonneveld-29/,235.0,1,1082 EX,2,Sonneveld 29,apartment
1965,65,http://www.funda.nl/koop/amsterdam/appartement-49880287-groetstraat-44/,170.0,1,1024 TX,2,Groetstraat 44,apartment
1906,113,http://www.funda.nl/koop/amsterdam/appartement-49883358-huidekoperstraat-7-ii/,725.0,3,1017 ZL,4,Huidekoperstraat 7 II,apartment
1906,89,http://www.funda.nl/koop/amsterdam/appartement-49716752-nieuwezijds-voorburgwal-169-d/,600.0,2,1012 RK,4,Nieuwezijds Voorburgwal 169 D,apartment
2004,160,http://www.funda.nl/koop/amsterdam/appartement-85241084-geuzenkade-103-c-pp/,849.0,3,1056 LV,4,Geuzenkade 103 C + PP,apartment
2002,130,http://www.funda.nl/koop/amsterdam/appartement-49889550-martini-van-geffenstraat-132/,325.0,3,1068 GL,4,Martini van Geffenstraat 132,apartment
1979,52,http://www.funda.nl/koop/amsterdam/appartement-85243575-prins-hendrikkade-78-h/,399.0,1,1012 AE,2,Prins Hendrikkade 78 H,apartment
1872,66,http://www.funda.nl/koop/amsterdam/appartement-49883365-marnixkade-13-hs/,375.0,1,1015 XM,2,Marnixkade 13 hs,apartment
1996,93,http://www.funda.nl/koop/amsterdam/appartement-49883813-korte-de-wittenstraat-15/,479.0,2,1052 DG,3,Korte De Wittenstraat 15,apartment
2010,121,http://www.funda.nl/koop/amsterdam/appartement-85269622-maassluisstraat-19/,335.0,3,1062 GA,4,Maassluisstraat 19,apartment
1968,104,http://www.funda.nl/koop/amsterdam/appartement-49895054-slangenburg-113/,445.0,2,1082 JV,3,Slangenburg 113,apartment
1906,66,http://www.funda.nl/koop/amsterdam/appartement-49809290-marnixkade-48-h/,395.0,1,1015 XT,2,Marnixkade 48 H,apartment
1940,55,http://www.funda.nl/koop/amsterdam/appartement-49810130-gloriantstraat-4-1/,225.0,2,1055 CS,4,Gloriantstraat 4 1,apartment
1929,102,http://www.funda.nl/koop/amsterdam/appartement-85260340-woubruggestraat-39-ii/,525.0,4,1059 VP,5,Woubruggestraat 39 II,apartment
